id,bookDate,name,phoneNo,age,gender,checkIn,checkOut,specialNeeds,race,price,accompanies,family,localResident,ADDRESS
1,2020-04-04,Last First Name M.,9696576134,43,Female,2020-04-07,2020-04-06,0,na,99.17055313928296,4,1,1,Not available
2,2020-04-01,Last First Name M.,1190631903,67,Female,2020-04-06,2020-04-02,0,na,101.19615849231181,3,1,0,Not available
3,2020-04-02,Last First Name M.,1913212489,52,NA,2020-04-03,2020-04-04,0,na,99.27221647434143,1,1,1,Not available
4,2020-04-02,Last First Name M.,3558566595,58,Others,2020-04-02,2020-04-01,0,na,100.69209656091451,4,1,1,Not available
5,2020-04-03,Last First Name M.,1143952908,72,NA,2020-04-09,2020-04-08,0,na,99.23713603134082,4,0,1,Not available
6,2020-04-02,Last First Name M.,3576888590,35,Male,2020-04-03,2020-04-02,0,na,96.72242546433874,1,0,0,Not available
7,2020-04-01,Last First Name M.,4531231256,24,Others,2020-04-08,2020-04-07,0,na,99.6880087165792,4,1,1,Not available
8,2020-04-10,Last First Name M.,7718206795,68,Others,2020-04-09,2020-04-04,0,na,100.28029520694547,2,0,1,Not available
9,2020-04-02,Last First Name M.,6567319595,31,Female,2020-04-01,2020-04-04,0,na,95.4078480041035,3,0,0,Not available
10,2020-04-03,Last First Name M.,4104197482,59,NA,2020-04-08,2020-04-06,0,na,98.265617374211,3,0,1,Not available
11,2020-04-06,Last First Name M.,8876099731,62,NA,2020-04-02,2020-04-04,0,na,97.85355526822462,3,0,1,Not available
12,2020-04-10,Last First Name M.,3129742857,70,Male,2020-04-04,2020-04-01,0,na,99.29373039199332,2,0,1,Not available
13,2020-04-07,Last First Name M.,2757587929,52,Male,2020-04-07,2020-04-10,0,na,99.10807609835065,4,1,1,Not available
14,2020-04-07,Last First Name M.,1743270288,26,NA,2020-04-09,2020-04-10,0,na,103.77523357441254,2,0,1,Not available
15,2020-04-08,Last First Name M.,3906949151,51,Female,2020-04-07,2020-04-03,0,na,98.23055734653073,3,1,0,Not available
16,2020-04-02,Last First Name M.,6203410773,31,Male,2020-04-05,2020-04-02,0,na,99.89405490625028,4,0,1,Not available
17,2020-04-01,Last First Name M.,4635581277,72,Male,2020-04-03,2020-04-02,0,na,99.90152338075559,4,1,0,Not available
18,2020-04-07,Last First Name M.,3199872565,14,Others,2020-04-08,2020-04-06,0,na,98.81213340505599,1,1,0,Not available
19,2020-04-02,Last First Name M.,6550034048,58,NA,2020-04-10,2020-04-05,0,na,97.73833988837103,4,0,1,Not available
20,2020-04-10,Last First Name M.,1693387407,49,NA,2020-04-04,2020-04-10,0,na,100.2307510208005,1,0,0,Not available
21,2020-04-01,Last First Name M.,9398393718,46,Male,2020-04-04,2020-04-05,0,na,98.20239318148019,2,1,0,Not available
22,2020-04-03,Last First Name M.,9215360224,30,Male,2020-04-09,2020-04-03,0,na,100.51561401970264,1,1,0,Not available
23,2020-04-06,Last First Name M.,7963393405,41,Male,2020-04-01,2020-04-01,0,na,101.90920251732996,1,0,1,Not available
24,2020-04-06,Last First Name M.,4405028150,20,Others,2020-04-05,2020-04-04,0,na,102.65996289635201,2,0,1,Not available
25,2020-04-08,Last First Name M.,5901537657,77,Male,2020-04-01,2020-04-08,0,na,98.03523513445232,2,0,0,Not available
26,2020-04-06,Last First Name M.,4915991886,74,NA,2020-04-02,2020-04-08,1,na,99.24758794581865,3,0,0,Not available
27,2020-04-09,Last First Name M.,2128935865,41,Others,2020-04-08,2020-04-03,0,na,97.53643856894196,3,1,0,Not available
28,2020-04-09,Last First Name M.,1726614438,34,NA,2020-04-04,2020-04-04,0,na,100.47510225965154,1,0,0,Not available
29,2020-04-03,Last First Name M.,9749835751,13,NA,2020-04-08,2020-04-03,0,na,97.37233473842183,1,0,1,Not available
30,2020-04-06,Last First Name M.,3143924421,30,Female,2020-04-03,2020-04-08,0,na,102.5769657918263,4,1,0,Not available
31,2020-04-08,Last First Name M.,1172517101,41,NA,2020-04-03,2020-04-02,0,na,102.38077182040125,2,0,1,Not available
32,2020-04-04,Last First Name M.,3530328225,27,Others,2020-04-06,2020-04-09,0,na,98.33493476926174,3,0,1,Not available
33,2020-04-10,Last First Name M.,2285640002,12,NA,2020-04-08,2020-04-03,0,na,100.36867749839337,3,0,1,Not available
34,2020-04-05,Last First Name M.,8498897955,24,NA,2020-04-07,2020-04-01,0,na,99.82674466455106,1,1,1,Not available
35,2020-04-08,Last First Name M.,1821278070,37,Others,2020-04-07,2020-04-07,0,na,98.23809554047037,3,1,0,Not available
36,2020-04-08,Last First Name M.,9276889659,19,Others,2020-04-02,2020-04-10,0,na,100.01826741338951,1,0,1,Not available
